feature,importance
alex wong,0.42740080928974833
councilman,0.42713326523680656
living,0.4266202830241624
honour,0.42618717388655236
particular,0.4255387799882813
exposing,0.4253193985980293
burge,0.42525996010875217
image screen,0.42388335732263294
gilroy,0.42368092389554385
tx,0.4236682534571331
romney mcdaniel,0.42272396515506055
brotherhood,0.4225027480784819
average,0.42245577552985636
tax return,0.42237020573495465
trump team,0.42202786073698434
tea party,0.42178998076044555
blame,0.42121719407189373
parasite,0.420521185922699
destroy country,0.4198904952254773
sentenced death,0.41987664312225836
rashid,0.41962734853994793
sharpton,0.4188694340227636
wearing,0.41846337703778735
oath,0.4184085668698512
billionaire,0.41777467337058044
great,0.4175288976414362
oregon,0.417437847651922
judd,0.4171451539963528
epic,0.416931821470678
kind,0.41688262786430436
western wall,0.4168519482452797
existence,0.4163802125026359
felony,0.4157277494529898
exists,0.41547729529335764
dem,0.41535634181024284
republican support,0.41498239747184384
reality star,0.41477124911626073
cancelled,0.4145133965575644
ting,0.41449287146470276
said sander,0.414424091454817
video donald,0.4138866386598549
orleans,0.41382339923574774
disgusting,0.413705530946807
rejecting,0.41323129680106435
man,0.41274858225481004
connor,0.41179745503408627
post report,0.4116622924488675
cia,0.41036216650510654
info,0.4102205520518526
approximately,0.4099899779625041
mexican government,0.4086391761771184
mainstream,0.4084231769729468
nearly year,0.40711063911100637
trump trump,0.40681474663840955
addition,0.40643290502971713
unprecedented,0.4063881150263792
art,0.4062585314629892
class,0.40607299551181125
harry reid,0.40511150055742035
foreign policy,0.4048769897204583
pro life,0.4040447392789285
arctic,0.4040157408624675
boy,0.40363830250082644
court said,0.40311868656804634
thief,0.4030310956400586
began,0.4030125118936586
salt,0.40285734538330686
wong,0.4026449855829509
noticed,0.40261982669163815
columnist,0.402567198963852
corrupt,0.4023066254783933
intel,0.4021270203352892
gone,0.40208497028444484
hampton,0.40192474314852855
free market,0.4015379078260863
decided,0.4008660199365688
somodevilla getty,0.4008126370029669
explanation,0.40044196875314236
ohchr,0.40019920704299816
telegraph,0.4001964511548566
swing,0.39992853718913857
foot,0.3996600136429397
lord,0.39923282998029874
emp,0.399071190202705
teaching,0.3988299794824953
numerous,0.39794982402612666
considering,0.39747123865566314
saving,0.39716749334559176
wanting,0.39682953882534966
chip somodevilla,0.3963344352246829
jr,0.39620919044435365
somodevilla,0.39613734680968365
soar,0.3960317655100831
released statement,0.39590636089946146
phone,0.3958626110157321
police say,0.39561200422431325
roadway,0.39539436640290776
federal official,0.39525508246244
folk,0.3951202701952796
bell,0.39490663775117485
maybe,0.39472681599589227
new orleans,0.3946687408903454
american student,0.3944612200743553
id,0.3938293753601824
grab,0.39366388693078963
stealing,0.39364999452462923
bilderberg,0.39329602462247654
ferguson,0.3932684673116162
la time,0.3932642444800448
rev,0.3931682091128816
usps,0.3929307261449638
reckless,0.39264915019751767
secret,0.39262984679513735
gdp,0.392094689685382
plate,0.3918333078555169
century,0.3917805864375754
deserve,0.3909689433730882
friend,0.3906336931890627
dhs,0.3905709538781156
fec,0.3901711991445233
said taking,0.3901109246949963
realdonaldtrump,0.39010399765630815
sarcasm,0.390089155196209
kicked,0.39008739857240604
failed,0.3900624036955032
wapo,0.3900583260501662
crooked,0.38983882239672146
act,0.3898386267463084
religious freedom,0.3890994322725353
savage,0.3887692877976856
constantly,0.38860550877687566
hollande,0.38826646137231585
abc,0.3875736117887785
embarrassed,0.38722699283645184
time year,0.38711754102506446
prof,0.38698753700353133
warning,0.3869825497663074
gear,0.38676363273870423
collection,0.3863931536270699
black,0.3858067593108018
instead,0.3857176263049209
coincidence,0.3854841311018938
jackson lee,0.38543605736036446
think,0.3853047891830565
rent,0.38513575841034275
disturbing,0.3850483792501846
morton,0.3848242972719852
national park,0.38450847479981337
shiite,0.3839431740622687
hussein obama,0.3839421431951036
commie,0.38389362313645514
jeb,0.38328348423467984
said spoke,0.38271359262030885
zemmour,0.38244463652380534
stabbed,0.38239832794690054
nike,0.38227397663107987
yanukovych,0.3821678050654139
nail,0.3821170098237157
inside,0.3820509305596767
angry,0.38167463789760037
kilometer mile,0.3816376597852202
colluding,0.38156646868090427
xu,0.38138309912849255
great news,0.3811075627318592
ukip,0.3810989667602539
denial,0.38054878603711384
arming,0.3803502105525902
image youtube,0.3803104970243247
katz,0.3802113156740765
burqa,0.37992324318729453
working,0.3797139515433997
zero,0.37964997714901466
detroit news,0.37946277581685256
section,0.3794134063746978
michigan court,0.37859749844708235
cbs news,0.37853226703890985
significant,0.37832621497459984
nba,0.37805826829060607
world,0.37802478905835424
flashback,0.37795203788957127
panic,0.3779032839133423
hardwick,0.3778044627931745
read nyp,0.37766298695756984
confederate,0.37747766756135304
wage increase,0.3774028616643933
firearm,0.37739860129063457
mic,0.3771159310909527
attempt,0.3770261028151876
fake,0.3769250084200275
bikers,0.3764722510313971
bean,0.37632384046866063
disrespect,0.3762228780233975
past day,0.3753096099157923
high school,0.3752147496656801
pr,0.3745855359101048
universe,0.3739098509162417
embarrassing,0.37371639328864176
dems,0.3736197915813932
clear,0.3735488745724387
stoning,0.37341488175123744
adler,0.37327497813749505
john boehner,0.37325002013292724
principal,0.37321369979240526
designed,0.37293439029741215
dinner,0.37292183188778905
ideology,0.3725449735575696
trailer,0.37250722733948705
harvard,0.3723141823162146
zionist,0.37221992431686074
department justice,0.37191481339184534
record number,0.3714235125849901
explaining,0.3713101101164015
deep state,0.37116481301522497
york city,0.37020328357284443
madison,0.3701405774752928
sander campaign,0.370086849320977
joe,0.3698436979291124
giveaway,0.369793232027868
paint,0.3696947675057567
appropriate,0.3696745491887914
protestors,0.3695804507159965
past,0.3694469438700661
sen bernie,0.36920195836329317
demand,0.3688238109012867
quite,0.36878977004510877
farrell,0.3687631320713409
shocker,0.36848453501426354
hillary campaign,0.3682745523851437
alleged president,0.36793612363250167
analysis,0.3675470694059
university michigan,0.3674170294183665
griffin,0.3672052226088403
february,0.3671318611889939
davis,0.36682178788664727
sayyaf,0.3667671021754947
supreme,0.36649654202601994
properly,0.36617449590707646
american woman,0.36614872721409125
pork,0.36584734267815766
image wikimedia,0.36531597010127337
reveals,0.36524688530990085
univision,0.3649300440668024
von,0.3648648526592894
whoa,0.3648333324487133
chaos,0.3647688780845659
